User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
End Police Brutality,@Stop_Killin_Us,2021-05-21T08:09:29.000Z,to kuku put tracker for everyone body,0,0,0
Don Todd,@donaldktodd,2021-05-21T08:08:37.000Z,to and use of in comparison is perfect you will never understand why you are more upset by black people police brutality than by white people beating and storming our But believe me we do hope someday you do too,0,0,1
Skylar,@skylaar43,2021-05-21T08:06:48.000Z,Police Brutality Leaves in News Brutality Leaves in The administration instead of them In the last month of of have taken to the streets net,0,0,0
End Police Brutality,@Stop_Killin_Us,2021-05-21T08:06:04.000Z,to and to you then saw in your name all have cockroach brain,1,0,2
Simcha Seeker,@SimchaSeeker,2021-05-21T08:04:39.000Z,to Culture of police brutality What did it due to quell the fascination with martyrdom and jihad the real fuel of this conflict,0,0,0
Dark☭ Ⓐ ★,@Darkguyindark,2021-05-21T08:04:38.000Z,An example of police Tweet ANI video of woman being by female police personnel allegedly for not wearing mask in goes viral Two personnel have been suspended An inquiry been ordered in the matter ASP said yesterday Pic from the viral video,0,0,0
jarme,@jarmarme,2021-05-21T08:04:24.000Z,to and explaining why being in police brutality is harm reduction actually,0,0,0
Action Group Against Police Brutality of TI in UK,@AGA_PBinUK,2021-05-21T08:02:18.000Z,to and it is not everybody that can be psychologically,0,1,2
End Police Brutality in Nigeria!,@moe_official10,2021-05-21T08:01:03.000Z,Green Quote Tweet The three for and,0,0,0
dbt,@dbt2009,2021-05-21T07:57:44.000Z,one point in was the only country where the number of to by suicide police brutality hunger exhaustion was greater than the number of to Covid Death Disbelief An Odd Resistance In UP Rural Hinterland about Covid Lack of health information and Resistance to vaccination We found perfect storm devastating the poor southwestern of most article,0,0,0
Action Group Against Police Brutality of TI in UK,@AGA_PBinUK,2021-05-21T07:56:06.000Z,to without doubt based on my experience The portable directed energy weapon with through the wall sensor mainly used by the Met Police and Secret is in,1,0,1
End Police Brutality in Nigeria!,@moe_official10,2021-05-21T07:55:41.000Z,to and na,0,0,0
KE SHARP,@danielmarven,2021-05-21T07:55:10.000Z,Police brutality is now everywhere don know how are Police trained to handle public,5,22,39
Aircon Mizallena Isabella Khan a/l Abdullah Tan,@IoreIeifunk,2021-05-21T07:54:19.000Z,police brutality is insane was at in the afternoon and within few of detention DEAD THIS IS HAPPENING IN BROAD DAYLIGHT NOT LONG AFTER TOO EVERYONE SPEAK UP,0,6,5
❅ᜐᜋᜓᜎ,@uglyluhan,2021-05-21T07:49:44.000Z,The people excusing police brutality with those who in custody were all just how relatable the movement is to And by the way it not just one ethnic group the police,2,31,50
Meluleki Simelane,@IamSluga,2021-05-21T07:48:29.000Z,Police Brutality is Terrorism we continue to suffer in the of Police,0,10,9
nandhu,@13Nanthini,2021-05-21T07:48:12.000Z,Another custodial death of and we still haven gotten any Is there an end for police brutality They this at the same This might happen again Tweet Free Today The year old was said to have been taken in at am and according to the police incident report he at Death Custody,0,0,1
MIKE,@R3ALMIKE01,2021-05-21T07:47:51.000Z,to and speaking up for my right to defend myself from those same who seek to do me harm speaking up for of police brutality and government overreach both nationwide and globally is designed to protect from and,1,0,0
Action Group Against Police Brutality of TI in UK,@AGA_PBinUK,2021-05-21T07:47:47.000Z,My radiation attack by Met Police and Secret was so outrageous to the extent that was irradiated with Microwave and Particle directed energy weapon in for days at Airport and Airway flight,1,1,3
HRM 梅林 END POLICE BRUTALITY NOW,@may4pikin,2021-05-21T07:45:56.000Z,The Good News What God cannot do does not exist,0,3,15
Kaarkuzhal Kadavai,@_ayyvin,2021-05-21T07:44:49.000Z,to that you want to understand the situation Go ahead And don see why you re getting all worked up for tweet believe to you want to stand up against police brutality And that why out to stand together,0,0,0
𝖒𝖎$𝖍𝖆⁹,@mishaleleh,2021-05-21T07:44:42.000Z,even though know that its not make any DIFFERENCE Grow up people Not once but the same police brutality thing to TWO men TWO times WITHIN month WHERE ARE YOU,0,0,1
Natalia Taylor,@Natalia_at_nite,2021-05-21T07:42:59.000Z,Is it really necessary to have FIVE police to WALKING pedestrian to perform sobriety test We can spend our money way better than to one Yet we can claim police brutality What do my state reps have to say,0,1,0
Vincent 咯,@VincentL0r,2021-05-21T07:41:21.000Z,Justice for all of police brutality in,0,3,5
Job Mayaka,@JobMayaka7,2021-05-21T07:40:25.000Z,to and never but as people he snatched the mantle from He does get done About police brutality sometimes we provoke the state once saw bribe people at The police can look the other way all the time,0,0,0
Snako24,@snako24,2021-05-21T07:34:17.000Z,Let end police brutality Tweet Black Queen,0,3,5
Kaarkuzhal Kadavai,@_ayyvin,2021-05-21T07:34:04.000Z,police brutality against was month back and IF ONLY you chose to click and see it you could have gotten all the information you This that were demanding justice for an man you chose to ignore it,1,0,0
Christine,@bilingual345,2021-05-21T07:33:35.000Z,during covid during Pandemic,0,0,0
Akash Banerjee,@akash6261,2021-05-21T07:29:34.000Z,to,0,0,0
AnonymousLiberal,@trumplostbitch,2021-05-21T07:28:55.000Z,to and sure do love to support other at the of of police brutality Oh guess you cant see for what they really are when you re shielded by white privilege Cant believe this garbage on their site,0,0,0
july,@july_birdie,2021-05-21T07:27:24.000Z,FOUND OUT HOW TO END POLICE BRUTALITY via OUT HOW TO END POLICE BRUTALITY FOUND OUT HOW TO END POLICE BRUTALITY ALL TEXT TEXT,0,0,0
ANGELFACE.,@heeyimbreezy,2021-05-21T07:26:54.000Z,black people blackness in all the wrong ways as if of police brutality racism and don happen to black and mixed people of all all think suffering and slander only to purely black people only,0,0,1
𝘏𝘙𝘏 𝘋𝘜𝘒𝘌 𝘖𝘍 𝘚𝘈𝘛𝘈𝘕,@Nvszhrnl,2021-05-21T07:26:24.000Z,police brutality ya The late because of sudden heart attack Quite coincidence and timely ya his disease was during his time in custody Quote Tweet Mother of grieving outside as her son who was brought into the police station today was dead by the police officer Show this thread,0,0,2
syaza (she/her),@sunsyaza,2021-05-21T07:26:15.000Z,to here are some very informative sorry can only provide links hope tho check out to educate on police brutality in,1,2,0
chaarani,@chaaraniii,2021-05-21T07:26:02.000Z,yet another custodial death of at the same where was WHAT HAPPENING POLICE BRUTALITY TO BE STOPPED Tweet Free Today The year old was said to have been taken in at am and according to the police incident report he at Death Custody,0,0,1
sus me,@suspicioususher,2021-05-21T07:25:52.000Z,to you want spread awareness yes would support but don bring hatred towards other instead educate them like the conflict you were about Police brutality need to end,0,0,1
UZAX.COM,@uzaxcom,2021-05-21T07:25:28.000Z,Cop suspended amid of police brutality in video chief suspended amid of police brutality in video chief The is also helping the police department investigate,0,0,0
☭ Flying House ☭,@TheFlyingHouse,2021-05-21T07:24:30.000Z,to guess of the future will need auto aim low intensity portable laser to rapidly neutralize all hostile in the sky like those blue that burn through plastic but on an camera swivel tech,0,0,1
African.,@ManqShabz,2021-05-21T07:24:27.000Z,what big men you are With your big and big trucks ready to take war to unarmed and beat back their protest against what big men you are Tweet is unavailable,0,2,0
End Police Brutality,@Stop_Killin_Us,2021-05-21T07:24:22.000Z,to like just like the fact,0,0,0
Action Group Against Police Brutality of TI in UK,@AGA_PBinUK,2021-05-21T07:21:11.000Z,To all male TI please beware that the Police Secret deliberately to old for stalking If you must take photo of people stalking you avoid taking the of these underage otherwise they may arrest and accuse you of,0,2,4
Trailortrash Maggee,@Trailortrash_Mg,2021-05-21T07:19:54.000Z,FOUND OUT HOW TO END POLICE BRUTALITY via OUT HOW TO END POLICE BRUTALITY FOUND OUT HOW TO END POLICE BRUTALITY ALL TEXT TEXT,0,0,0
Bobby Kerat,@bobbykerat,2021-05-21T07:19:42.000Z,to and you are missing two key st when we say Apartheid we mean the not living in an serving in Supreme court is irrelevant Systematic racism police brutality in disappear when president,2,0,1
A Wholesome Photographer,@Mbulelo_Ndlovu6,2021-05-21T07:17:14.000Z,POLICE BRUTALITY IS TERRORISM,0,42,45
Paula M,@PaulaKazimira,2021-05-21T07:16:12.000Z,to and me too even when you had to serve for month Never understood why people wished they would be Rape murder bad office police brutality car no thanks Just waiting every day for that notice,0,0,0
End Police brutality,@ZuzileMamba,2021-05-21T07:15:10.000Z,Tweet Wholesome Photographer to this is the current state of,0,1,1
Travis B. Hill,@travisbhill5,2021-05-21T07:14:22.000Z,Since took office become full moderate who in and police brutality she Tweet Alec UPDATE Devastating news This dangerous bill with and their and voting present instead of against it thus supporting giving more money and to use against the most vulnerable people Show this thread,1,1,0
